model,preprocessing,accuracy,macro_f1,weighted_f1,neutral_f1,positive_f1,negative_f1,epochs
allegro/herbert-base-cased,No_processing,0.7276785714285714,0.6841980396779271,0.7314420046522663,0.6788511749347258,0.8007699711260827,0.572972972972973,4.0
allegro/herbert-base-cased,No_processing_http,0.6931690929451287,0.6639107915728655,0.696372811943066,0.6318407960199005,0.7574819401444789,0.6024096385542169,3.9923224568138194
allegro/herbert-base-cased,No_processing_hashtag,0.7265625,0.6735278066278153,0.7234917057108134,0.6770833333333334,0.7963302752293578,0.5471698113207547,4.0
allegro/herbert-base-cased,No_processing_mention,0.7162011173184357,0.666518159846707,0.7134968633710488,0.6134020618556701,0.7892293407613742,0.5969230769230769,4.0
allegro/herbert-base-cased,No_processing_cashtag,0.7388392857142857,0.690386324190106,0.7379474003618675,0.696969696969697,0.8071161048689138,0.5670731707317073,4.0
allegro/herbert-base-cased,No_processing__text,0.7165178571428571,0.6586076231123302,0.7121867109449609,0.6579634464751958,0.7905282331511839,0.5273311897106109,4.0
allegro/herbert-base-cased,No_processing__rep,0.71875,0.6744246469570054,0.7209168858400653,0.6666666666666666,0.789272030651341,0.5673352435530086,4.0
allegro/herbert-base-cased,No_processing_norm,0.7220982142857143,0.6853123009143359,0.7267058356694854,0.6666666666666666,0.7881773399014779,0.6010928961748634,4.0
