preprocessing,accuracy,macro_f1,weighted_f1,neutral_f1,positive_f1,negative_f1,epochs
No_processing,0.7584415584415585,0.7064824177058758,0.7617416691835296,0.7093023255813954,0.8304347826086956,0.5797101449275363,3.9896103896103896
No_processing_http,0.7258485639686684,0.701413887469169,0.7252977002510365,0.6777777777777778,0.78239608801956,0.6440677966101694,3.989556135770235
No_processing_hashtag,0.7532467532467533,0.7113513443885724,0.7543007149597785,0.6490066225165563,0.8183807439824945,0.6666666666666666,3.9896103896103896
No_processing_mention,0.6597402597402597,0.632266529880987,0.6555324047244115,0.6021505376344086,0.7215496368038741,0.5730994152046783,3.9896103896103896
No_processing_cashtag,0.6909090909090909,0.6553747616934319,0.6911831898805327,0.6413043478260869,0.7587822014051522,0.5660377358490566,3.9896103896103896
No_processing__text,0.6961038961038961,0.6589467257488179,0.6958256193336048,0.6385542168674698,0.7685185185185185,0.5697674418604651,3.9896103896103896
No_processing__rep,0.7480519480519481,0.7139146638351255,0.7462458757624544,0.6748466257668712,0.8119266055045872,0.6549707602339181,3.9896103896103896
